PDB_code	Chain	Main_knot_type	Molecular_function
1uak	A	31.0	Methyltransferase, Transferase
1by7	A	31.0	Protease inhibitor, Serine protease inhibitor
1cmx	A	31.0	Hydrolase, Protease, Thiol protease
1f48	A	31.0	Translocase
1fug	A	31.0	Transferase
1gz0	A	31.0	Methyltransferase, Transferase
1js1	X	31.0	Transferase
1mxa	A	31.0	Transferase
1mxb	A	31.0	Transferase
1mxc	A	31.0	Transferase
1mxi	A	31.0	Methyltransferase, Transferase
1ns5	A	31.0	Methyltransferase, Transferase
1nxz	A	31.0	Methyltransferase, Transferase
1o6d	A	31.0	Methyltransferase, Transferase
1o90	A	31.0	Transferase
1o92	A	31.0	Transferase
1o93	A	31.0	Transferase
1o9t	A	31.0	Transferase
1p7l	A	31.0	Transferase
1p9p	A	31.0	Methyltransferase, Transferase
1qm4	A	31.0	Transferase
1rg9	A	31.0	Transferase
1to0	A	31.0	Methyltransferase, Transferase
1uaj	A	31.0	Methyltransferase, Transferase
1ual	A	31.0	Methyltransferase, Transferase
1uam	A	31.0	Methyltransferase, Transferase
1v2x	A	31.0	Methyltransferase, RNA-binding, Transferase, tRNA-binding
1v6z	A	31.0	Methyltransferase, Transferase
1vh0	A	31.0	Methyltransferase, Transferase
1vhk	A	31.0	Methyltransferase, Transferase
1vhy	A	31.0	Methyltransferase, Transferase
1x7o	A	31.0	Methyltransferase, Transferase
1x7p	A	31.0	Methyltransferase, Transferase
1xd3	A	31.0	Hydrolase, Protease, Thiol protease
1xd3	A	52.0	Hydrolase, Protease, Thiol protease
1xra	A	31.0	Transferase
1xrb	A	31.0	Transferase
1xrc	A	31.0	Transferase
1yrl	A	31.0	Oxidoreductase
1yrl	A	41.0	Oxidoreductase
1zjr	A	31.0	Methyltransferase, RNA-binding, Transferase, tRNA-binding
1znc	A	31.0	Lyase
1ztu	A	41.0	Kinase, Photoreceptor protein, Receptor, Transferase
2cx8	A	31.0	Methyltransferase, Transferase
2egv	A	31.0	Methyltransferase, Transferase
2egw	A	31.0	Methyltransferase, Transferase
2etl	A	31.0	Hydrolase, Protease, Thiol protease
2etl	A	52.0	Hydrolase, Protease, Thiol protease
2fg6	C	31.0	Transferase
2g7m	C	31.0	Transferase
2ha8	A	31.0	Methyltransferase, RNA-binding, Transferase
2i6d	A	31.0	Methyltransferase, Transferase
2o3a	A	31.0	Methyltransferase, Transferase
2o9b	A	41.0	Kinase, Photoreceptor protein, Receptor, Transferase
2o9c	A	41.0	Kinase, Photoreceptor protein, Receptor, Transferase
2obv	A	31.0	Transferase
2ool	A	41.0	Kinase, Photoreceptor protein, Receptor, Transferase
2p02	A	31.0	Transferase
2qmm	A	31.0	Methyltransferase, Transferase
2qwv	A	31.0	Methyltransferase, Transferase
2v3j	A	31.0	Methyltransferase, Ribonucleoprotein, RNA-binding, rRNA-binding, Transferase
2v3k	A	31.0	Methyltransferase, Ribonucleoprotein, RNA-binding, rRNA-binding, Transferase
2vea	A	41.0	Kinase, Photoreceptor protein, Receptor, Transferase
2wdt	A	31.0	Hydrolase, Protease, Thiol protease
2wdt	A	52.0	Hydrolase, Protease, Thiol protease
2we6	A	31.0	Hydrolase, Protease, Thiol protease
2we6	A	52.0	Hydrolase, Protease, Thiol protease
2yy8	A	31.0	Methyltransferase, Transferase
2z0y	A	31.0	Methyltransferase, Transferase
2znc	A	31.0	Lyase
3a7s	A	31.0	Hydrolase, Protease, Thiol protease
3a7s	A	52.0	Hydrolase, Protease, Thiol protease
3ai9	X	31.0	Methyltransferase, Transferase
3aia	A	31.0	Methyltransferase, Transferase
3b1b	A	31.0	Lyase
3bbd	A	31.0	Methyltransferase, RNA-binding, rRNA-binding, Transferase
3bbe	A	31.0	Methyltransferase, RNA-binding, rRNA-binding, Transferase
3bbh	A	31.0	Methyltransferase, RNA-binding, rRNA-binding, Transferase
3c2w	A	41.0	Kinase, Photoreceptor protein, Receptor, Transferase
3e5y	A	31.0	Methyltransferase, Transferase
3ed7	A	31.0	Methyltransferase, Transferase
3f7b	A	31.0	Lyase
3fw3	A	31.0	Lyase
3g6o	A	41.0	Kinase, Photoreceptor protein, Receptor, Transferase
3gyq	A	31.0	Methyltransferase, Transferase
3ibr	A	41.0	Kinase, Photoreceptor protein, Receptor, Transferase
3ic6	A	31.0	Methyltransferase, Transferase
3ief	A	31.0	Methyltransferase, Transferase
3ifw	A	31.0	Hydrolase, Protease, Thiol protease
3ifw	A	52.0	Hydrolase, Protease, Thiol protease
3ilk	A	31.0	Methyltransferase, Transferase
3iml	A	31.0	Transferase
3irt	A	31.0	Hydrolase, Protease, Thiol protease
3irt	A	52.0	Hydrolase, Protease, Thiol protease
3jxf	A	31.0	Hydrolase, Protein phosphatase
3jxg	A	31.0	Hydrolase, Protein phosphatase
3jxh	C	31.0	Hydrolase, Protein phosphatase
3knu	A	31.0	Methyltransferase, Transferase
3kty	A	31.0	Methyltransferase, Transferase
3kvf	A	31.0	Hydrolase, Protease, Thiol protease
3kvf	A	52.0	Hydrolase, Protease, Thiol protease
3kw2	A	31.0	Methyltransferase, Transferase
3kw5	A	31.0	Hydrolase, Protease, Thiol protease
3kw5	A	52.0	Hydrolase, Protease, Thiol protease
3ky7	A	31.0	Methyltransferase, Transferase
3kzc	A	31.0	Transferase
3kzk	A	31.0	Transferase
3kzn	A	31.0	Transferase
3kzo	A	31.0	Transferase
3l02	A	31.0	Transferase
3l04	A	31.0	Transferase
3l05	A	31.0	Transferase
3l06	A	31.0	Transferase
3l8u	A	31.0	Methyltransferase, Transferase
3m4j	A	31.0	Transferase
3m4n	A	31.0	Transferase
3m5c	A	31.0	Transferase
3m5d	A	31.0	Transferase
3mt5	A	31.0	Ion channel, Potassium channel, Voltage-gated channel
3n4j	A	31.0	Methyltransferase, Transferase
3n4k	A	31.0	Methyltransferase, Transferase
3nhq	A	41.0	Kinase, Photoreceptor protein, Receptor, Transferase
3nk6	A	31.0	Methyltransferase, Transferase
3nk7	A	31.0	Methyltransferase, Transferase
3o7b	A	31.0	Methyltransferase, RNA-binding, rRNA-binding, Transferase
3oii	A	31.0	Methyltransferase, Ribonucleoprotein, RNA-binding, rRNA-binding, Transferase
3oij	A	31.0	Methyltransferase, Ribonucleoprotein, RNA-binding, rRNA-binding, Transferase
3oin	A	31.0	Methyltransferase, Ribonucleoprotein, RNA-binding, rRNA-binding, Transferase
3onp	A	31.0	Methyltransferase, Transferase
3q98	A	31.0	Transferase
3quv	A	31.0	Methyltransferase, Transferase
3rii	A	31.0	Hydrolase, Protease, Thiol protease
3rii	A	52.0	Hydrolase, Protease, Thiol protease
3ris	A	31.0	Hydrolase, Protease, Thiol protease
3ris	A	52.0	Hydrolase, Protease, Thiol protease
3rv2	A	31.0	Transferase
3s7q	A	41.0	Kinase, Photoreceptor protein, Receptor, Transferase
3s82	A	31.0	Transferase
3tde	A	31.0	Transferase
3ulk	A	31.0	Oxidoreductase
3ulk	A	41.0	Oxidoreductase
3znc	A	31.0	Lyase
